date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2019-05-27,34189.99993,35400.0,33991.11,35950.0,18240142.47310441,517.6034397,14316,35239.60830646
2019-05-26,32402.99,34015.00004,32200.0,34897.0,15667101.48485572,465.84301029,9461,33631.71956814
2019-05-25,32380.32044,32579.99993,32320.0,32646.91995,1914793.17397365,58.89477313,2289,32512.10713974
2019-05-24,31856.011110000003,32648.71897,31750.0,32849.0,11312882.46212986,347.91101328,8877,32516.59772272
2019-05-23,31720.97984,32069.9593,31050.0,32399.0,9722930.5657206,305.29312197,7717,31847.85331218
2019-05-22,32699.99993,31720.97984,31438.000010000003,32780.0,16044329.68987119,499.33475342,11036,32131.41000097
2019-05-21,32599.99999,32710.49,32250.000010000003,32987.0,11246410.94591036,344.29232657,9464,32665.29654596
2019-05-20,31899.99993,32599.99999,31550.0,33010.0,17500204.15192858,541.35252226,10856,32326.81742918
2019-05-19,31602.85001,31708.0,31500.0,32700.0,8832176.23388671,274.4722213,6158,32178.76181441
2019-05-18,30101.910010000003,31602.85001,30017.0,32150.0,5992545.46972808,193.28517306,4977,31003.64800288
2019-05-17,31950.0,30200.0,27508.01,32300.0,28505917.08164049,954.94816658,16210,29850.74800837
2019-05-16,33201.98,31950.0,31750.0,33250.0,18150830.30732705,560.1858482999999,11807,32401.44384655
2019-05-15,32100.0,33201.98,31907.0,33390.0,19929907.65178514,609.62019579,18356,32692.33498073
2019-05-14,31532.00002,32000.12,30200.0,33298.0,31103257.47777972,968.25925626,20252,32122.86097622
2019-05-13,26399.99,31690.0,26320.0,33300.0,39549684.31917049,1295.36825374,22657,30531.61462385
2019-05-12,28258.0,26399.99,25100.0,28500.0,9253009.71683205,345.24243959,6800,26801.48398852
2019-05-11,25889.98,28260.0,25800.12004,29323.67549,14285078.36524637,517.07504391,11321,27626.70241678
2019-05-10,24980.0,25889.98985,24900.04003,25954.0,16985475.2403743,666.32322823,10818,25491.34492203
2019-05-09,24017.0,24980.0,23854.79002,24980.0,9920548.21522414,407.01626527,8294,24373.83726825
2019-05-08,23535.82,24016.0,23300.0,24100.0,9758287.99229698,413.09170737,6876,23622.57052901
2019-05-07,23149.41,23597.0,23031.1,24000.0,13105828.8282966,552.34308839,9248,23727.69589006
2019-05-06,22828.99993,23149.0,22650.0,23149.0,8744393.59798784,380.99363888,6013,22951.54749484
2019-05-05,22920.0,22828.99993,22750.0,23159.04538,1879144.19162094,81.85233099,1931,22957.73582612
2019-05-04,22991.99999,22989.99993,22401.0,23189.99998,3803316.63014562,166.71966830000005,2893,22812.64513615
2019-05-03,21800.0,22991.0,21762.96755,23150.0,17308709.46709231,762.71445311,10254,22693.56427758
2019-05-02,21118.2,21800.0,21100.7,21998.0,10727118.64192596,494.01188545,7020,21714.29262709
2019-05-01,21200.0,21118.09,21062.84701,21350.0,2144522.88409434,101.10892554,2421,21210.02545166
2019-04-30,20819.99993,21200.0,20675.0,21497.0,9587022.62967912,455.38551273,6016,21052.54199284
2019-04-29,21126.01026,20819.99993,20459.09,21500.0,9954444.01177481,478.0686948,5735,20822.20425652
2019-04-28,21199.0,21126.00955,20900.0,21534.84,1629144.05184904,77.02031178,1501,21152.1352483
2019-04-27,20723.64092,21198.84999999,20614.11,21700.0,4261793.00370687,201.3294201,3594,21168.25748363
2019-04-26,21755.0,20723.40046,20200.0,21799.0,12008694.96368088,577.867925,6605,20781.03740345
2019-04-25,22100.00001,21755.0,21001.13,22300.0,11321416.30713201,516.43506772,6628,21922.24543758
2019-04-24,22392.88,22234.47975,21789.38,22570.0,11570681.93954741,522.50691518,7053,22144.55273871
2019-04-23,21712.68999999,22392.9,21501.0001,22675.89675,12269834.61849496,549.70784422,7962,22320.64677175
2019-04-22,21159.98,21712.68999999,21080.0,21989.0,10227575.52553196,476.79532199,6850,21450.6624831
2019-04-21,21265.0,21100.0,21020.0,21277.96,1423331.21304251,67.31859939,1589,21143.20894878
2019-04-20,21139.0,21145.0,21080.0,21279.65875999,1028280.4945856,48.55052387,1465,21179.59627663
2019-04-19,21003.04,21080.0,20871.0,21198.79,1732462.79734687,82.35571552,2186,21036.33957167
2019-04-18,20881.0,21001.07001,20753.0,21349.99,7818785.00743795,370.92951781,5907,21078.89674998
2019-04-17,20380.0,20881.00999999,20257.00001,20999.99997,7951960.0565722985,383.65785523,5903,20726.69684243
2019-04-16,19886.9,20380.0,19800.0,20550.0,7394954.42255951,365.4824641,5677,20233.40419565
2019-04-15,20299.0,19886.90001,19600.9,20400.0,7762969.61870585,386.66994456,5612,20076.4753711
2019-04-14,20187.7,20249.9,19926.09999999,20300.0,1004798.65907665,49.84158071,1271,20159.84735562
2019-04-13,20168.05001,20187.729880000006,20015.0,20326.95645,848118.60233886,42.07600058,1324,20156.82552162
2019-04-12,19631.99,20168.05001,19500.0,20500.0,7201972.37264355,359.7662652,5509,20018.4760754
